shift_batch_id,production_volume_kg,chemical_usage_liters,etp_status,electricity_usage_kwh,,etp_cost_bdt,etp_capacity_liters,ph,bod_mg_per_l,cod_mg_per_l,risk_score
B80804,3173.9,29363,1,9714.1,,1664.2,63429,7.61,139.5,343.1,19.64
B94518,4449.4,36189.3,1,9093.4,,865.3,78614,8.85,151.5,577.7,24.94
B37152,3563.3,24980.1,1,12066.4,,1206.5,47825,6.73,129.4,300.4,11.4
B52437,5005.9,47909.6,1,16346.4,,1975.4,90000,6.33,102.1,385.3,17.68
B94323,4409.6,36191.1,1,9086.2,,1202.6,66133,7.85,128.4,468.8,13.12
B76263,6407.1,52024.1,0,19055.2,,6.5,59980,11.63,732.2,2362.2,98.78
B59060,3635.6,24956.9,1,11071.3,,987.1,60979,6.69,96.7,305.1,5.9
B16743,5682.4,52460.4,0,11063.5,,10.4,62106,9.71,426.3,1549,85.83
B13794,3146.9,27619.6,0,6814.1,,67.6,68168,10.79,618.6,2120.8,93.67
B52517,2183.3,20262.2,1,4915,,650.1,51395,7.9,185,480.2,18.03
B98930,5955.8,52291.2,1,13048.2,,1091.1,58103,7.46,90.1,315.6,7.97
B40161,5126.2,44074.3,1,18332.4,,1900,70672,8.29,115,359.2,18.41
B91018,6110.5,60113.8,1,20317.5,,2113.6,89361,7.73,63.7,161.7,11.25
B55793,4708.4,43453.9,1,10062.9,,1401,58563,8.24,132.4,358.8,14.87
B83989,4274.1,44094.8,1,8901.2,,1513.3,65696,6.23,173.6,498.1,14.65
B94497,5790,60246.9,1,14511.3,,1066.4,45869,7.77,110.6,334.5,11.39
B55015,5587.4,55255.1,0,14334.4,,36,69130,12.33,230.3,732,86.45
B47243,6738.8,45003,0,20032.9,,29.1,60020,12.71,363.9,1229.5,99.62
B53054,6017,59871,1,12764.3,,494.1,48679,7.97,109,350,9.95
B30308,3564.6,32880.7,0,10353.6,,28.9,54846,10.77,450,1136,96.64
B15726,4964.8,47503.6,1,16959.2,,1527.9,65055,6.49,148.5,531.4,11.32
B46932,3908.3,32216.4,1,9526.4,,1137.2,67177,8.51,78,299.3,11.17
B68893,2625.5,18763.9,1,6353.8,,847.6,59687,8.13,187.6,576.5,22.32
B28035,5660.8,58396.5,0,12305.8,,4.3,64762,11.26,651.8,1921.4,88.9
B25970,1922.3,19177.4,1,6623.2,,400,42970,6.65,176,616.1,17.78
B21221,3191.9,26167.7,1,7040,,1119.6,60707,6.73,146.3,490.7,10.4
B23587,5831.3,46554.6,1,18891.8,,1128.3,86695,7.16,73.6,239.5,7.47
B15741,7129.5,67278,1,20296.9,,1530.5,71958,8.09,70.6,122.1,8.01
B62431,4894.2,49084.2,0,12241.3,,51.8,59268,10.5,608.2,2218.9,96.65
B96628,5903.8,61247.8,1,16417.1,,1243.1,55850,7.81,103.9,339.9,12.09
B99051,1801,13013,1,5176.5,,530.1,36347,8.37,142.7,312.5,15.07
B79397,7931.3,73141.5,1,20666.4,,1368.3,79707,6.46,116.8,318.6,15.27
B27790,3927.3,40765.1,1,7405.3,,842.3,59546,6.64,58.3,147.8,0
B36342,821.8,6931.9,0,1676.2,,27.8,53810,9.73,234,817,76.81
B19666,4449.7,32947.6,0,12343.8,,70.7,68791,9.73,589.9,1666.5,85.04
B31229,4211.1,35290.5,1,11838.4,,974,49144,7.51,99.1,373.4,8.23
B96341,4080.7,41704.4,1,14375.7,,1614,79538,7.6,144,467.6,21.65
B94136,5833.7,59373.9,1,12059.9,,1681.4,76779,7.72,147.4,531.8,17.8
B41685,1265.5,11731.8,0,3067.9,,38.7,67248,10.21,477.9,1584.5,88.59
B50441,4419.8,33458.6,1,10796,,1220.2,55714,6.48,95.4,292.4,17.04
B57943,4448.9,30347.1,1,10623.4,,1456.1,71802,8.53,104.6,209.7,16.82
B54444,5552,44003.9,1,12621.5,,1729.4,75225,6.84,180.3,427.8,11.4
B90805,6481.2,51773.6,1,16669.2,,1874,80912,7.56,170.2,463.6,15.71
B72205,6134.3,47021.4,1,17588.6,,1197.7,55707,8.02,172.5,594.4,19.79
B67807,4113,37779.1,1,9385.6,,1048.1,47984,8.32,65.8,208.3,11.12
B79878,3384.9,23977.1,1,11269,,800.1,76154,6.41,129.4,447.4,19.78
B51555,3963.1,31420.5,1,11977,,795.9,56460,7.67,136.9,446,16.36
B95979,7211.8,63338.3,1,17100.3,,564,37916,7.04,123.3,262.9,16.14
B23178,6446.8,54332.1,1,22756,,1596.3,73296,6.73,96.2,277.5,5.4
B14888,5982.8,42716.6,1,13010.3,,1366.5,72479,8.27,112.4,281.8,13.83
B53914,3430.3,24790.9,0,11474.5,,74.9,51303,12.87,726.9,2679.1,100
B35318,6748.3,57179.1,1,23643.5,,949.5,64068,6.77,157.8,389.7,8.87
B85088,6874.3,67087.8,1,18792.3,,721,55796,6.78,147,380.6,5.88
B72676,2926.8,19498.8,1,6263,,1627.7,70440,6.35,86.9,307,16.05
B83946,4465,36176.7,1,12625.9,,870,58360,8.62,187.1,391.9,23.91
B83912,6346.4,46003.4,1,17794.6,,1052.9,52235,8.7,74.7,232.6,14.73
B63591,1326.2,12542.1,1,4082.9,,557.9,46736,8.98,132,551.2,24.32
B80419,6199.9,58600.8,1,22032.1,,1253.5,54239,8.89,131.4,512.9,25.1
B14222,7979.5,78910.8,1,25277.4,,1093.1,66905,7.38,139.9,365.6,19.14
B47914,1818.5,18414.3,0,3353.3,,47.8,64358,11.96,882,2522.9,100
B98965,3524.1,35591.5,1,11690.2,,1906.5,64516,7.56,92.5,298.3,10.5
B17552,3387.9,29207.3,1,10695.7,,939.9,57288,7.13,121.3,397.7,9.89
B87015,1356.4,13967,1,3474.8,,791,46108,6.28,115.9,285.5,17.1
B52154,4672.1,40412.4,1,11972,,2239.6,90000,6.35,165.7,428.8,17.96
B29126,5305.2,42377.2,1,12535,,1413.1,57033,7.41,167.4,411.4,13.79
B70401,4012.6,34687.1,1,9613.8,,1172.6,64452,7.65,154,517.4,15.83
B18908,1587.9,15525.8,1,5244.1,,529.7,45904,6.1,175,512.7,24.76
B98346,6431.9,41849.3,1,19061.1,,843.1,52245,6.02,114.1,346.2,14.91
B20566,6569.9,67591.9,1,18506,,848.8,55819,8.38,209,649.4,23.65
B15577,3062.6,30425.8,1,8097.3,,918.5,64052,7.5,55.9,194.8,10.31
B62205,5744.2,57953.9,1,13667.5,,1005.4,58602,7.97,153.5,394.4,20.66
B19963,7126.5,54615.4,0,23042.9,,59.2,51072,12.27,555.3,1877.8,100
B42302,5033.8,40213.1,1,16026.7,,1433.7,90000,7.3,194.9,634,17.49
B63483,5406.4,50589.1,1,16298.5,,766.3,67704,6.81,155.3,387.1,16.81
B45247,6434.8,57326.3,1,21150.2,,1374.1,63461,8.98,69.4,134.4,13.83
B91289,3849.8,31720.5,1,10428.9,,872.6,66747,6.59,82,169.8,15.33
B85481,5756.5,47168.5,1,19041.2,,1069.9,56830,6.53,77,197.9,13
B63627,3830,37078.6,0,9430.5,,14.4,90000,12.19,886,3294.1,100
B80373,5970.4,42081.7,1,13031,,1164.7,53120,7.75,31.4,98.2,13.8
B77999,5583.4,56830.8,1,16914.3,,909.4,50767,7.94,155.1,533.2,19.86
B54966,5240.6,48514,1,14441.1,,1418.2,59992,7.45,94.6,285.9,9.89
B82339,2847.2,20636.6,1,8012.4,,1427.5,58245,6.35,153.7,469.5,17.13
B18200,2335.4,20550.3,1,6275.9,,550.1,54392,7.84,137.4,425.8,17.15
B98288,7392,71501.9,1,16206.2,,1218.7,55850,6.94,89.4,232.3,6
B94575,4789.9,36770,1,10129.9,,1348.4,59898,7.53,101,292.2,8.03
B64477,2418,17474.9,0,5228.8,,76.1,44916,11.2,354.1,860.8,92.21
B81186,3478,30514.6,1,11581.2,,1049.2,64247,8.32,69.3,168.3,11.42
B41056,2257,15322.3,0,6890.8,,66.4,62142,12.13,397.1,1268.8,100
B85069,4381.9,41262.7,1,12771,,881.7,46822,8.42,75.4,222.1,15.37
B98635,4302.9,43037.1,1,9302.6,,1377.6,68480,8.6,176,500.5,24.67
B22208,1815.5,12643.8,1,4707.7,,928.5,68181,8.25,92.1,211.8,7.91
B99463,2713,22512.8,1,5721.5,,1115.5,65053,6.81,137.2,404.7,9.96
B22234,4652,30825.7,1,9163.7,,1874.9,69742,7.28,207.6,748,24.41
B11217,1886.9,13854.8,1,4759.6,,1063.2,56141,7.97,119.5,352.7,15.36
B28724,7186.9,56880.1,1,22259.3,,1484.6,63185,6.31,97.3,292.3,21.72
B66280,8705.8,76111.2,1,21317.1,,907.7,62207,7.33,137.4,395.6,12.93
B17152,2837.8,20018.8,1,8539.8,,806.8,46236,8.54,101.6,286.4,15.58
B71736,2993.4,28974.7,0,6762.7,,1,85185,10.76,762.8,2021,99.13
B20357,4542.1,30714.2,0,10446.1,,40.5,70354,11.7,413.5,1373.8,96.03
B89800,5115.8,37499.2,1,13150,,726.3,71688,8.1,110.3,195.3,10.58
B25473,5291.6,48426,1,10029.3,,1275.6,76520,7.55,133.6,352.5,17.15
B25117,2411.8,16015.9,1,5247.4,,1015.7,58241,7.08,68.3,190.5,9.31
B51934,5916.5,50882.7,1,13827,,1441.6,57424,8.57,36.2,100.9,8.79
B48219,6180.8,41936.1,1,21219.1,,1403,73843,6.21,88.2,318.6,10.18
B11257,4963.6,38137.2,1,14457.2,,1410.3,63621,8.28,120.1,346.4,12.81
B58823,7330.6,47477.9,0,22014.1,,39.4,53804,9.71,575.3,2180.2,90.44
B69343,4468.7,37817.3,1,13436.6,,1324.7,60151,8.55,144.3,486.9,23.37
B99922,5580.6,53744.8,1,16156,,901.9,74044,6.62,96.9,259.6,11.41
B82105,3812.8,27801.5,1,12794,,667.4,31892,8.46,130.2,378.9,16.03
B18450,1342.9,9565,1,3338.6,,1256.5,61806,7.93,160.6,499.9,23.71
B34530,2507.7,16933.6,1,9187.5,,1185.7,82449,8.17,100.4,277.1,15.93
B81258,3537.1,31717.5,1,10489.8,,1268,62673,7.26,140.6,460.5,11.44
B30922,7634.4,60566.8,0,20960.1,,31.1,55106,10.13,546.9,2006.2,93.71
B57026,300,2700.1,1,1710.4,,1629.6,70944,8.39,73.2,305.4,8.63
B72650,2709.3,17767.7,0,7125.8,,70.5,76007,11.22,1095.6,2939.1,97.69
B96787,5550.3,38907.8,1,17688.7,,400,53697,8.32,73.8,311.2,7.08
B32983,5728.4,40461.7,1,12818.5,,856,33023,8.08,213.6,792.3,22.31
B75035,4349.1,31194.4,1,8330.2,,1061.9,52159,6.95,109.6,350.2,7.11
B10167,4461.2,46380.8,1,10346.1,,1595.4,72475,6.8,91.6,259.1,9.69
B12631,2761.9,19869,1,7669.8,,1684.2,71865,8.27,69,125.4,12.77
B30591,5174.5,37131.6,1,13076.2,,555.2,55029,7.45,89.3,217.7,8.79
B96772,2122.9,17747,1,6470.2,,1045.3,58099,7.65,142.7,428.5,15.38
B34455,3693.1,27073.5,1,11469.5,,1096.4,63483,6.8,135.4,415,14.57
B64870,4332,32301.3,1,10209.3,,482,44695,8.91,161.5,453.4,20.48
B35260,2872.6,24819.4,0,6089.2,,2.8,76949,11.5,367,1380.4,100
B11620,4027.6,33213.4,1,14779.7,,1501.4,67173,8.74,156.2,455.1,20.73
B95824,6465.7,57934.5,0,16171.6,,75.2,45284,12.74,440.8,1386.4,100
B49722,4114.7,31243.6,1,9102.4,,1344,59334,8.24,145.7,540,18.53
B73499,6459.9,59355.7,1,22744.4,,1689.6,81314,7.81,178.3,355.8,20.28
B57235,6742.3,57446.5,1,14432.9,,1461.7,62223,6.58,113.3,412.1,10.25
B21847,3996.8,34423,1,12115.6,,1409.5,64711,7.76,192.6,564.4,25.47
B88792,3687.9,32491.1,1,13380.6,,719.5,48068,8.34,124.3,492.1,17.97
B59051,4904.3,50647.2,0,14719.5,,68.1,87680,11.11,630.3,1936.7,100
B88647,4483.2,39726.9,1,12532.5,,1078.7,60737,7.97,175.5,426.1,18.97
B72355,5114.3,39809.7,1,14104.1,,1484.1,72689,7.75,193.6,530.4,18.15
B39272,2135.7,19235.6,0,6883,,10.2,64780,10.41,674.1,2356.4,93.44
B64146,3386.9,26833.3,1,8244.1,,888.8,51613,6.21,71.8,199.8,11.49
B45851,5096,37120.6,1,13540.6,,832.9,55152,7.46,52.1,186.1,10.6
B79603,4847.7,34323,1,16096.7,,1108.2,71796,6.01,139.7,417.7,10.95
B27536,3377.6,25064.6,1,10735.7,,1535.6,71050,6.89,184.6,486.4,12.04
B93928,5882.6,42561.1,1,20840.3,,1612.3,67429,7.77,167.8,385.4,20.46
B96725,3945.4,41329.1,1,12496.2,,990.3,64771,7.42,154.4,363.2,10.62
B63707,2006.9,18634.5,1,5683.2,,998.9,61290,7.83,74.2,295.1,3.62
B94454,6543.9,48029.3,1,22948.8,,1608,62808,6.45,68.8,113.3,8.21
B53078,6004.3,50166.7,1,12434.4,,1361.7,64939,6.28,180.5,672.3,24.52
B17686,2179.6,21932.7,1,5137.3,,1783.2,73580,8.55,159.1,521.8,16.75
B44290,4970.6,50348.7,0,12834.8,,62.3,68750,11.64,840.8,2781.2,99.04
B94070,4792.1,31550.7,1,15311,,1942.9,67377,7.56,99,247.8,6.37
B94320,4801.1,46766,1,9649.4,,1982.4,75377,8.61,161.5,433.4,22.92
B91142,4897.5,48031.5,1,14107.7,,1289.2,52041,8.24,160.4,365.5,21.15
B96364,1667.1,16502.2,1,4780.6,,1421.5,72572,7,125.9,381,9.63
B38257,4739.5,37526.8,1,11205,,824.1,61411,6.42,106.8,206.3,17.86
B66729,6921.5,66604.4,1,18128.8,,1391,70856,7.35,65.6,95.5,5.66
B54939,4392.3,36584.5,0,9211.6,,31,61731,11.6,506.3,1799.4,97.62
B95208,3578.9,29202.8,0,10630.4,,68.9,80285,11.99,834.1,2086.4,100
B13312,4043.6,28884.8,0,12105.2,,75.4,47832,11.99,509.2,1698.7,96.49
B83647,5080.6,38471.9,1,16787.2,,743.1,56330,7.62,93.6,220,11.71
B68073,4389.9,32450,0,13703,,74.1,79741,10.86,1073.1,2875.6,99.13
B15326,7971.7,80799.2,0,24374.3,,77.1,45967,10.53,411.6,1014.4,85.89
B56934,3609.2,31853.9,1,8604.7,,759.2,55762,8.8,131.6,400.8,16.58
B72240,3922.5,40275.8,1,11426.4,,1114.1,75149,7.99,187.3,491.4,27.29
B59146,6765.4,43709.1,0,20042,,49.7,53154,12.86,534.9,1936.6,99.19
B23621,8378.4,71342,1,24931.6,,1688.2,67185,8.32,65,156.2,12.36
B43901,7164.6,70558.3,1,18835.4,,1071.4,78923,8.15,135.2,338.7,21.48
B89503,5931.4,49113.4,1,15137.1,,1055.7,81642,8.24,194.5,555.7,21.12
B94926,7153.9,68213.8,1,21606.9,,942.2,56145,8.39,22.6,50,12.68
B31096,2854.3,29152.9,1,6075.2,,1115.8,50268,6.91,119.1,262.7,7.91
B53365,2787.2,24992.6,1,8953.9,,2107.2,81354,7.65,110.4,352.3,13.92
B39035,6744.6,61966.3,1,13559.8,,1078.3,51836,8.08,149.8,554.9,19.82
B35746,5860.9,53087.9,1,18026,,1114.7,49574,7.46,164.7,411.2,18.71
B57948,1137,11491.8,1,2763.6,,1386.1,78044,7.77,162.1,476.5,12.34
B84233,5042.3,50420.9,1,10716.4,,952.2,72116,6.72,230.4,740,22.68
B16086,5318.4,48917.4,0,13895.3,,5,65202,10.79,804.2,1841.9,100
B39215,3999.8,41418,1,12034.4,,802.9,46744,7.76,147.3,555.9,18.02
B40191,2319,19910.7,1,6694.9,,1074.1,62424,6.63,146.8,336,17.32
B33597,4073.6,37566.8,1,11252.3,,937.9,52639,6.4,158.6,492.1,16.35
B33839,563.8,5398.1,1,2778.5,,404.4,36263,7.45,92,220.6,10.51
B90576,3411.8,31524.9,1,12322,,1106.2,67404,8.73,125.1,431.1,15.37
B73192,6094.1,57780.9,1,12817,,856.2,53870,7.29,97,311.5,6.56
B78490,2737.4,26092.1,0,8536.9,,38.2,66207,10.31,693,2477.8,94.5
B83080,4285.1,27804.2,1,10406.6,,1286.2,72315,8.56,86.2,240.9,14.47
B54359,2642.2,20943,1,6666.7,,1084.5,57096,7.98,119.4,363.6,15.47
B62513,6275.8,56180.6,0,15402.8,,37.7,69984,11.6,284.3,663.2,91.95
B32214,1686.1,14947.7,1,6453.3,,618.8,52544,6.86,59.8,105.5,3.21
B86406,2829.4,29658.2,1,5868.4,,1269.7,73050,8.11,126.7,419.1,14.76
B85352,5909.9,52711.7,1,13353,,1053.2,58267,6.88,129.6,506,5.45
B51383,2860.7,24197.1,1,6938.5,,1165.9,44580,6.77,85,244.1,6.27
B34925,3154.7,29546.6,1,7433.7,,1133.9,74332,6.94,111.6,267.5,8.64
B15539,5412.9,54390.1,1,12147.8,,1374.8,79161,8.03,175.9,535.2,16.59
B61605,3418.7,34629.2,0,11259,,61.1,70035,11.29,359.8,895.3,86.84
B90358,3961.1,37943.2,0,10639.7,,30.4,80444,9.85,614.3,1719.4,87.22
B35698,5262.6,43221.2,1,16651.5,,1589.9,70182,8.44,112.1,388.6,12.94
B17869,5491,53358.3,1,12473.9,,1109.5,61849,6.9,51,130.5,3.47
B80574,4407.3,30727.3,1,13919.4,,1587.6,74288,7.05,154.2,475.9,11.25
B19351,4819.1,44116.9,1,13549.4,,807.9,54986,6.5,103.5,339.3,15.03
B40753,3633.7,33254.8,1,11383.5,,1954.8,77824,7.56,95.1,307,16.02
B61097,7102.3,48326,1,15534.6,,1528.4,72117,8.29,126.6,294,17.94
B80685,4524.1,40907.2,1,10190.1,,1444.8,65663,8.92,160.5,487.4,25.81
B27865,2421.1,21732.5,1,7258.4,,638.2,54560,7.33,102.2,283.1,12.73
B94671,4271.7,43526.6,1,15363.2,,1001.7,63230,7.12,124.8,328.9,9.94
B93478,3484.9,28645.8,1,8704.2,,1008.7,50821,8.43,184.4,539,20.81
B65082,1827.2,15563.5,1,4792.2,,1512.7,62020,7.32,140.3,314.9,13.17
B25985,6437.8,53115.8,1,21019.4,,491.9,37920,7.41,104.8,292.9,6.14
B73075,4109.5,42546,0,9200.6,,7.5,81077,11.83,646.1,2443.9,99.17
B88146,4218.4,31076.4,1,9417,,686.3,55366,6.83,171.6,416.1,15.69
B94495,2500.8,23967.5,1,8163.4,,1005,82393,7.07,148.2,382.1,11.18
B46087,6601.9,64063,1,20235,,1696.2,79513,7.31,102.9,302.2,7.46
B18302,6889.5,61355.9,0,18553.7,,36.3,68832,12.22,396.2,1186,90.22
B35115,2770.9,23771.4,1,7906.7,,1270.7,55594,6.2,151.1,576.2,22.91
B17956,1410.8,12718.8,1,4545.9,,1782.4,73955,6.63,159.8,486.6,14.78
B35312,4344.9,42108.1,1,13980,,1164.5,52628,6.65,106.1,339.1,12.2
B30732,4519.6,32891.8,1,14667.9,,1001.8,73037,8.65,135.2,346.4,21.5
B57187,1107.9,10927.3,1,4015.5,,1118.4,52260,6.72,88.6,245.4,11.48
B14946,2786.9,26276.7,0,9200.9,,24.1,58301,10.55,662.2,1537.9,92.78
B22499,4031.6,28683.4,1,9811,,1303.7,57651,6.65,151.4,462.4,18.52
B92862,2837.9,21824.7,1,5719.6,,1309.3,63953,7.25,174.5,402.5,15.08
B27326,4336.4,33714.2,1,9607.2,,1407.1,63205,7.18,69.3,221.9,6.17
B41760,6246.5,52484.5,1,14442.1,,1089.2,45484,7.44,132.9,442.4,17.45
B29112,4459.7,42642.6,1,9747.7,,915.5,52652,7.78,153.7,584.9,20.89
B71759,4379.8,44691.7,1,10036.2,,1329.9,79392,7.86,165.3,485.1,18.98
B90997,3052.6,22262.8,1,8715.5,,623.5,43194,8.1,172.6,567.5,21.42
B73525,5790.8,48480.1,1,17637.1,,893.7,72184,6.88,149.4,543.1,12.49
B75700,728.6,6376.8,0,2041.6,,42.4,71465,10.67,618.3,1764.7,95.59
B64700,5785.4,46623.5,1,21487.4,,701.2,52430,6.41,153.5,472.2,18.42
B29025,7241.9,73860.1,1,17782.4,,1402.6,68814,6.93,44.2,131.1,3.89
B93472,3530.6,23860.1,1,10429,,1289.4,83517,8.92,126.5,456.5,24.8
B34114,4034,28287.6,0,8438,,45.4,56383,10.31,630.7,1795.5,87.6
B69971,5008.3,42484.3,0,9364.1,,33,71975,12.1,613.4,2319.9,100
B77987,1702.5,15358.4,0,5171,,45.8,80022,11.38,422.8,919.9,100
B70762,6069.6,63530.2,1,19738,,1730.6,67265,8.32,114.6,323.8,13.35
B95010,879.9,7292.4,0,2676.2,,33.1,60351,11.08,508.5,1224.3,86.29
B96445,5325.1,36939.8,0,10499.6,,30.7,73589,12.27,200,555.8,87.61
B75358,3282.6,23676.2,0,6397.6,,23.1,58700,10.13,200,730,72.85
B95626,8224.1,61296.9,1,23622.6,,1295.6,65112,7.86,170.3,530.9,17.92
B85886,4782.4,42184.9,1,14140,,1697.5,65517,7.98,147.8,456,15.61
B17626,7501.5,58522.7,1,25773.9,,431.2,39428,8.58,123.7,319.7,18.55
B78118,4178,43375.6,1,12101.9,,658.8,48318,7.58,98,362,12.81
B93558,1230.3,12350.8,1,3272.7,,1300.6,68145,6.62,57.4,174.9,7.17
B98142,2752.2,20453.5,1,5578,,681.9,56171,7.71,154.8,588.1,15.72
B37297,4021.8,28334.2,1,9143.3,,916.2,43375,6.17,35.6,66.5,7.31
B51222,2531.2,24897.9,1,5389.4,,811.4,53305,7.82,114.9,326.1,17.03
B30195,4396.7,44087.5,1,11446.7,,1060.8,76351,6.61,127.8,246.4,11.72
B15771,7092.9,60810.1,1,22783.3,,1087.5,46417,8.17,100.9,287.9,10.36
B25420,3862.6,32272.7,1,7845.7,,928.4,53765,6.96,198.1,492.5,19.26
B16648,4987.3,51617.2,1,13990.4,,1161.9,58499,7.72,94.8,210.7,16.83
B79924,1845,12829.1,1,4190.1,,1638.7,77077,7.85,66.9,200.1,5.3
B57638,7207.6,63060.4,1,14891.8,,762.1,57352,7.41,66.2,285.5,13.17
B24022,3671,35162.8,1,12908.6,,989.1,65076,8.3,125.9,408.5,17.97
B81372,2614.9,22283,1,6958.2,,1182.5,52088,8.44,144.3,460.8,16.04
B59664,5744.8,54594.8,1,18263.7,,1320.1,73134,6.92,145,375.9,9.89
B49286,4106.9,30213.4,1,9061.2,,800.3,40646,6.87,82.8,244.5,8.4
B83404,5811.6,59616.1,1,15610.9,,960.8,66806,6.38,116.5,285.4,15.63
B47810,2232.7,22551.2,0,4808.4,,30.6,68974,10.84,345.3,1009.6,87.02
B65590,5939.1,54573.8,0,10892.2,,79.2,49687,9.8,616.1,1959.9,92.34
B73115,2895.8,21032.6,1,8940.6,,863.8,55261,7.1,146.7,509.7,11.68
